통계표,계정항목,단위,가중치,변환,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12
"4.2.1. 소비자물가지수","        보청기","2020=100","0.6","원자료","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","101.85","101.85","101.95","101.95","101.95","101.95","101.95","101.95","101.95","101.95","101.95","101.95","102.88","102.88","102.88","102.88","102.88","102.88","102.88","102.88","102.88","102.88"
"4.2.1. 소비자물가지수","        건강기기렌탈비","2020=100","1.5","원자료","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","104.94","101.78","101.78","101.78","106.52","106.52","106.52","106.52","106.52","106.52","106.52","106.52","106.52","106.52","106.52","104.6","98.88","98.88","106.52","98.88"
"4.2.1. 소비자물가지수","        치료재료","2020=100","1.5","원자료","98.37","98.37","98.37","98.37","98.37","98.37","98.37","98.37","98.37","99.81","99.33","99.33","99.33","99.33","99.33","100.76","100.76","100.76","100.76","100.76","100.76","100.76","100.76","100.76","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","104.31","101.55","101.55","101.55","102.98","102.98","102.98","102.98","102.98","103.02","103.02","103.02","103.04"
"4.2.1. 소비자물가지수","    외래환자 서비스","2020=100","37.4","원자료","103.57","103.59","103.6","103.63","103.67","103.7","103.72","103.72","103.7","103.71","103.72","103.7","105.45","105.46","105.48","105.52","105.55","105.53","105.54","105.55","105.56","105.56","105.57","105.52","107.38","107.39","107.43","107.45","107.43","107.49","107.5","107.53","107.53","107.59","107.62","107.64","109.09","109.1","109.16","109.26","109.25","109.29","109.35","109.35","109.41","109.5","109.56","109.6"
"4.2.1. 소비자물가지수","      의료서비스","2020=100","24.5","원자료","104.36","104.37","104.39","104.37","104.4","104.4","104.41","104.41","104.41","104.41","104.42","104.42","106.45","106.45","106.47","106.49","106.52","106.52","106.52","106.52","106.52","106.52","106.53","106.53","108.59","108.6","108.62","108.64","108.64","108.66","108.68","108.68","108.68","108.68","108.68","108.68","109.96","109.96","109.97","109.99","109.99","110","110.02","110.02","110.02","110.02","110.02","110.01"
"4.2.1. 소비자물가지수","        외래진료비","2020=100","20.5","원자료","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","104.19","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","106.11","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","108.22","109.26","109.26","109.26","109.26","109.26","109.26","109.26","109.26","109.26","109.26","109.26","109.26"
"4.2.1. 소비자물가지수","        건강검진비","2020=100","1.2","원자료","101.38","101.55","101.73","101.65","101.94","102.06","102.28","102.23","102.23","102.23","102.45","102.49","102.93","102.95","103.35","103.66","104.07","104.07","104.19","104.19","104.19","104.15","104.25","104.33","104.3","104.47","104.94","105.4","105.4","105.54","105.92","105.92","105.92","105.92","105.92","105.92","106.41","106.25","106.54","106.86","106.86","107.11","107.57","107.57","107.64","107.64","107.64","107.3"
"4.2.1. 소비자물가지수","        한방진료비","2020=100","1","원자료","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","106.07","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","109.27","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","113.18","117.29","117.29","117.29","117.29","117.29","117.29","117.29","117.29","117.29","117.29","117.29","117.29"
"4.2.1. 소비자물가지수","        약국조제료","2020=100","1.8","원자료","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","107.05","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","110.91","112.84","112.84","112.85","112.85","112.85","112.85","112.85","112.85","112.85","112.85","112.85","112.85","116.03","116.03","116.03","116.03","116.03","116.03","116.03","116.03","116.03","116.03","116.03","116.03"
"4.2.1. 소비자물가지수","      기타의료서비스","2020=100","12.9","원자료","102.22","102.27","102.27","102.38","102.46","102.54","102.59","102.59","102.51","102.55","102.55","102.5","103.69","103.71","103.73","103.83","103.88","103.83","103.86","103.89","103.91","103.91","103.93","103.79","105.28","105.28","105.31","105.34","105.29","105.44","105.44","105.52","105.54","105.72","105.81","105.87","107.62","107.67","107.77","108.04","108","108.1","108.24","108.23","108.4","108.64","108.83","108.98"
